Date,Close
"Feb 16, 2024",89.357
"Feb 15, 2024",89.036
"Feb 14, 2024",88.862
"Feb 13, 2024",89.31
"Feb 12, 2024",89.444
"Feb 09, 2024",89.278
"Feb 08, 2024",89.401
"Feb 07, 2024",89.261
"Feb 06, 2024",89.121
"Feb 05, 2024",89.2182
"Feb 02, 2024",90.084
"Feb 01, 2024",89.618
"Jan 31, 2024",90.049
"Jan 30, 2024",90.025
"Jan 29, 2024",90.124
"Jan 26, 2024",90.1
"Jan 25, 2024",90.346
"Jan 24, 2024",90.283
"Jan 23, 2024",90.306
"Jan 22, 2024",89.4372
"Jan 19, 2024",90.386
"Jan 18, 2024",90.442
"Jan 17, 2024",90.313
"Jan 16, 2024",90.648
"Jan 15, 2024",90.663
"Jan 12, 2024",91.144
"Jan 11, 2024",91.041
"Jan 10, 2024",90.803
"Jan 09, 2024",90.858
"Jan 08, 2024",89.7557
"Jan 05, 2024",91.036
"Jan 04, 2024",90.98
"Jan 03, 2024",91.058
"Jan 02, 2024",91.142
"Jan 01, 2024",91.79
"Dec 29, 2023",91.897
"Dec 28, 2023",92.415
"Dec 27, 2023",90.6702
"Dec 26, 2023",90.6702
"Dec 25, 2023",90.6702
"Dec 22, 2023",91.317
"Dec 21, 2023",90.959
"Dec 20, 2023",91.149
"Dec 19, 2023",90.674
"Dec 18, 2023",90.0414
"Dec 15, 2023",91.487
"Dec 14, 2023",90.557
"Dec 13, 2023",89.968
"Dec 12, 2023",89.63
"Dec 11, 2023",88.9095
"Dec 08, 2023",89.872
"Dec 07, 2023",89.667
"Dec 06, 2023",89.862
"Dec 05, 2023",90.302
"Dec 04, 2023",89.747
"Dec 01, 2023",90.651
"Nov 30, 2023",91.214
"Nov 29, 2023",91.563
"Nov 28, 2023",91.196
"Nov 27, 2023",91.098
"Nov 24, 2023",90.803
"Nov 23, 2023",90.883
"Nov 22, 2023",90.826
"Nov 21, 2023",91.118
"Nov 20, 2023",89.4732
"Nov 17, 2023",90.131
"Nov 16, 2023",90.126
"Nov 15, 2023",90.166
"Nov 14, 2023",88.94
"Nov 13, 2023",87.9352
"Nov 10, 2023",88.738
"Nov 09, 2023",89.05
"Nov 08, 2023",88.95
"Nov 07, 2023",89.122
"Nov 06, 2023",89.109
"Nov 03, 2023",88.294
"Nov 02, 2023",88.047
"Nov 01, 2023",87.983
"Oct 31, 2023",88.286
"Oct 30, 2023",86.858
"Oct 26, 2023",87.9
"Oct 25, 2023",87.942
"Oct 24, 2023",87.858
"Oct 23, 2023",88.484
"Oct 22, 2023",88.042
"Oct 19, 2023",87.901
"Oct 18, 2023",87.642
"Oct 17, 2023",87.948
"Oct 16, 2023",87.749
"Oct 15, 2023",86.5582
"Oct 12, 2023",87.646
"Oct 11, 2023",88.319
"Oct 10, 2023",88.198
"Oct 09, 2023",88.013
"Oct 08, 2023",87.93
"Oct 05, 2023",87.83
"Oct 04, 2023",87.418
"Oct 03, 2023",87.055
"Oct 02, 2023",87.117
"Oct 01, 2023",87.103
"Sep 28, 2023",87.798
"Sep 27, 2023",87.393
"Sep 26, 2023",87.956
"Sep 25, 2023",87.862
"Sep 24, 2023",88.375
"Sep 21, 2023",88.277
"Sep 20, 2023",88.418
"Sep 19, 2023",88.791
"Sep 18, 2023",88.963
"Sep 17, 2023",88.504
"Sep 14, 2023",88.228
"Sep 13, 2023",88.971
"Sep 12, 2023",89.007
"Sep 11, 2023",89.091
"Sep 10, 2023",87.8093
"Sep 07, 2023",88.858
"Sep 06, 2023",89.179
"Sep 05, 2023",89.037
"Sep 04, 2023",89.222
"Sep 03, 2023",88.7507
"Aug 31, 2023",89.554
"Aug 30, 2023",90.32
"Aug 29, 2023",89.595
"Aug 28, 2023",89.437
"Aug 27, 2023",89.026
"Aug 24, 2023",89.162
"Aug 23, 2023",89.597
"Aug 22, 2023",90.032
"Aug 21, 2023",90.48
"Aug 20, 2023",90.305
"Aug 17, 2023",90.306
"Aug 16, 2023",90.491
"Aug 15, 2023",90.643
"Aug 14, 2023",90.646
"Aug 13, 2023",90.0861
"Aug 10, 2023",90.875
"Aug 09, 2023",90.885
"Aug 08, 2023",90.667
"Aug 07, 2023",90.966
"Aug 06, 2023",89.616
"Aug 03, 2023",90.575
"Aug 02, 2023",90.393
"Aug 01, 2023",90.526
"Jul 31, 2023",90.355
"Jul 30, 2023",89.39
"Jul 27, 2023",90.129
"Jul 26, 2023",90.71
"Jul 25, 2023",90.37
"Jul 24, 2023",90.431
"Jul 23, 2023",90.2221
"Jul 20, 2023",91.315
"Jul 19, 2023",91.855
"Jul 18, 2023",92.064
"Jul 17, 2023",92.133
"Jul 16, 2023",92.084
"Jul 13, 2023",92.005
"Jul 12, 2023",91.239
"Jul 11, 2023",90.675
"Jul 10, 2023",90.747
"Jul 09, 2023",89.149
"Jul 06, 2023",90.069
"Jul 05, 2023",89.359
"Jul 04, 2023",89.124
"Jul 03, 2023",89.352
"Jul 02, 2023",88.013
"Jun 29, 2023",89.103
"Jun 28, 2023",89.48
"Jun 27, 2023",89.779
"Jun 26, 2023",89.381
"Jun 25, 2023",89.225
"Jun 22, 2023",89.723
"Jun 21, 2023",89.989
"Jun 20, 2023",89.455
"Jun 19, 2023",89.404
"Jun 18, 2023",89.559
"Jun 15, 2023",89.587
"Jun 14, 2023",88.881
"Jun 13, 2023",88.653
"Jun 12, 2023",88.623
"Jun 11, 2023",88.54
"Jun 08, 2023",88.9
"Jun 07, 2023",88.379
"Jun 06, 2023",88.19
"Jun 05, 2023",88.298
"Jun 04, 2023",88.135
"Jun 01, 2023",88.45
"May 31, 2023",88.323
"May 30, 2023",88.666
"May 29, 2023",88.374
"May 28, 2023",87.7601
"May 25, 2023",88.651
"May 24, 2023",88.838
"May 23, 2023",89.125
"May 22, 2023",89.447
"May 21, 2023",89.498
"May 18, 2023",89.056
"May 17, 2023",89.279
"May 16, 2023",89.33
"May 15, 2023",89.368
"May 14, 2023",89.098
"May 11, 2023",89.513
"May 10, 2023",89.904
"May 09, 2023",89.94
"May 08, 2023",89.845
"May 07, 2023",89.972
"May 04, 2023",89.996
"May 03, 2023",90.454
"May 02, 2023",89.949
"May 01, 2023",88.853
"Apr 30, 2023",89.977
"Apr 27, 2023",90.119
"Apr 26, 2023",90.228
"Apr 25, 2023",89.937
"Apr 24, 2023",90.52
"Apr 23, 2023",90.09
"Apr 20, 2023",90.011
"Apr 19, 2023",90.098
"Apr 18, 2023",90.03
"Apr 17, 2023",89.511
"Apr 16, 2023",89.908
"Apr 13, 2023",90.187
"Apr 12, 2023",90.06
"Apr 11, 2023",89.516
"Apr 10, 2023",88.317
"Apr 09, 2023",89.306
"Apr 06, 2023",89.305
"Apr 05, 2023",89.278
"Apr 04, 2023",89.896
"Apr 03, 2023",89.597
"Apr 02, 2023",89.026
"Mar 30, 2023",89.442
"Mar 29, 2023",89.055
"Mar 28, 2023",88.982
"Mar 27, 2023",88.754
"Mar 26, 2023",88.526
"Mar 24, 2023",89.046
"Mar 23, 2023",89.625
"Mar 22, 2023",88.996
"Mar 21, 2023",88.368
"Mar 20, 2023",87.942
"Mar 17, 2023",87.616
"Mar 16, 2023",87.665
"Mar 15, 2023",88.169
"Mar 14, 2023",88.138
"Mar 13, 2023",87.126
"Mar 10, 2023",86.735
"Mar 09, 2023",86.383
"Mar 08, 2023",86.44
"Mar 07, 2023",87.348
"Mar 06, 2023",86.816
"Mar 03, 2023",87.216
"Mar 02, 2023",87.854
"Mar 01, 2023",87.341
"Feb 28, 2023",87.606
"Feb 27, 2023",87.37
"Feb 24, 2023",87.486
"Feb 23, 2023",87.775
"Feb 22, 2023",88.185
"Feb 21, 2023",88.257
"Feb 20, 2023",88.433
"Feb 17, 2023",88.132
"Feb 16, 2023",88.404
"Feb 15, 2023",88.929
"Feb 14, 2023",88.547
"Feb 13, 2023",88.026
"Feb 10, 2023",88.563
"Feb 09, 2023",88.498
"Feb 08, 2023",88.831
"Feb 07, 2023",88.704
"Feb 06, 2023",88.69
"Feb 03, 2023",89.391
"Feb 02, 2023",89.947
"Feb 01, 2023",88.736
"Jan 31, 2023",88.375
"Jan 30, 2023",88.519
"Jan 27, 2023",88.642
"Jan 26, 2023",88.955
"Jan 25, 2023",88.768
"Jan 24, 2023",88.541
"Jan 23, 2023",87.862
"Jan 20, 2023",87.937
"Jan 19, 2023",87.864
"Jan 18, 2023",88.004
"Jan 17, 2023",88.353
"Jan 16, 2023",87.952
"Jan 13, 2023",88.011
"Jan 12, 2023",87.805
"Jan 11, 2023",87.582
"Jan 10, 2023",88.124
"Jan 09, 2023",87.501
"Jan 06, 2023",86.827
"Jan 05, 2023",87.605
"Jan 04, 2023",87.219
"Jan 03, 2023",88.3
"Jan 02, 2023",88.482
